,AUC,Accuracy,training_time
XGBoost,0.932306202674438,0.9086586309852925,0.7789890766143799
LightGBM,0.9313977176014099,0.9074422205020458,0.6451685428619385
CatBoost,0.9292753544275478,0.9074422205020458,1.7907629013061523
Enhanced GBFT,0.9281347469795092,0.9047882339931439,60.74654197692871
FT-Transformer,0.9152024175764341,0.9055623133915736,125.82484555244446
TabNet,0.8962462106998826,0.8830034280659074,43.80241632461548
