,AUC,Accuracy,training_time
XGBoost,0.9223031103088914,0.8667329686723023,0.547886848449707
LightGBM,0.9221746124713874,0.8657384385877673,0.3434112071990967
Enhanced GBFT,0.9212611684384036,0.863583623404608,34.37713170051575
CatBoost,0.9197074392974453,0.8602685231228244,1.0372774600982666
FT-Transformer,0.9060201053197369,0.8478368970661363,66.84223556518555
TabNet,0.8831496208542365,0.7510359688380573,22.49323296546936
