,AUC,Accuracy,training_time
XGBoost,0.932306202674438,0.9086586309852925,0.6375293731689453
LightGBM,0.9313977176014099,0.9074422205020458,0.5338654518127441
CatBoost,0.9292753544275478,0.9074422205020458,1.3070123195648193
Enhanced GBFT,0.9244624550048354,0.9076633860444543,24.650222301483154
BERT-Enhanced GBFT,0.9221051285905876,0.9054517306203693,60.91638708114624
FT-Transformer,0.9111829481790645,0.9019130819418335,73.04770493507385
TabNet,0.8899085359718661,0.8830034280659074,20.043393850326538
