Model,Parameters,Size (MB),Inference (ms),Throughput (samples/s),Peak Memory (MB)
BERT-Enhanced GBFT,183842,0.70,2.104,243363,22.0966796875
Enhanced GBFT,171618,0.65,1.998,256300,21.6005859375
FT-Transformer,18978,0.07,2.325,220248,44.2841796875
TabNet,23678,0.09,1.973,259503,21.4443359375
LightGBM,N/A (Tree-based),0.66,4.138,123732,N/A
XGBoost,N/A (Tree-based),0.70,1.519,337117,N/A
CatBoost,N/A (Tree-based),0.22,1.171,437399,N/A
